region,no_of_trainings,previous_year_rating,length_of_service,avg_training_score,is_promoted,Female,Male,awards_0,awards_1,KPI_0,KPI_1,qualification
2,1,5.0,8,49,0,1,0,1,0,0,1,0.08704507581212582
2,1,5.0,4,60,0,0,1,1,0,1,0,0.08704507581212582
1,1,3.0,7,50,0,0,1,1,0,1,0,0.04352253790606291
2,2,1.0,10,50,0,0,1,1,0,1,0,0.033850862815826714
1,1,3.0,2,73,0,0,1,1,0,1,0,0.04594045667862196
1,2,3.0,7,85,0,0,1,1,0,1,0,0.04448970541508653
1,1,3.0,5,59,0,1,0,1,0,1,0,0.02659710649814956
0,1,3.0,6,63,0,0,1,1,0,1,0,0.03143294404326766
1,1,4.0,5,83,0,0,1,1,0,1,0,0.024455521299597254
1,1,5.0,5,54,0,0,1,1,0,0,1,0.02272843646205508
2,1,5.0,3,50,1,1,0,1,0,0,1,0.014265720758098399
2,1,5.0,5,49,0,0,1,1,0,0,1,0.15241637306360492
0,2,3.0,16,80,0,0,1,1,0,1,0,0.02659710649814956
1,1,3.0,7,84,0,0,1,1,0,1,0,0.08011157515035557
2,1,1.0,10,60,0,0,1,1,0,1,0,0.04763359578818257
1,1,3.0,5,77,0,0,1,1,0,0,1,0.046239313122169494
1,1,1.0,4,51,0,0,1,1,0,1,0,0.08518363947623107
1,1,5.0,8,46,0,0,1,1,0,0,1,0.07606799801442547
1,1,3.0,9,59,0,0,1,1,0,1,0,0.03432276023878056
1,1,3.0,7,75,0,0,1,1,0,1,0,0.055589501283537124
1,1,3.0,4,63,0,1,0,1,0,1,0,0.05389372270428496
2,2,5.0,7,59,0,0,1,1,0,1,0,0.05960427891425484
2,1,5.0,3,83,0,0,1,1,0,0,1,0.03064086745237729
1,1,5.0,4,68,0,0,1,1,0,0,1,0.03657231202029276
1,1,4.0,4,79,0,0,1,1,0,1,0,0.026687410375879003
0,1,5.0,3,80,0,0,1,1,0,0,1,0.02949585921283292
1,1,5.0,10,72,0,0,1,1,0,0,1,0.06316119469369001
1,2,1.0,2,61,0,0,1,1,0,1,0,0.027754000875156264
1,2,4.0,6,58,0,0,1,1,0,1,0,0.05353087387925812
2,2,5.0,3,87,0,0,1,1,0,0,1,0.023878711186040753
2,1,2.0,4,47,0,0,1,1,0,0,1,0.05620561434147955
2,1,4.0,4,75,0,0,1,1,0,0,1,0.04896800942637961
2,1,5.0,3,47,0,1,0,1,0,1,0,0.07752809610018105
1,1,5.0,5,51,0,0,1,1,0,0,1,0.038467431353229685
2,1,5.0,6,51,1,0,1,1,0,0,1,0.06901873497219846
1,1,3.0,10,80,0,0,1,1,0,1,0,0.029452892255042926
1,2,4.0,2,57,0,1,0,1,0,0,1,0.028595916179203967
1,1,4.0,26,52,0,0,1,1,0,0,1,0.09783514963440594
1,1,5.0,12,88,0,0,1,1,0,1,0,0.028752017313464228
2,1,5.0,11,71,0,1,0,1,0,1,0,0.07181512545580478
1,1,4.0,4,71,0,1,0,1,0,1,0,0.010590484223808642
1,1,3.0,11,80,0,0,1,1,0,1,0,0.06501055685919521
1,1,3.0,3,49,0,0,1,1,0,0,1,0.11203957895792405
1,1,3.0,12,73,0,1,0,1,0,1,0,0.04467455513330431
1,1,4.0,2,60,0,0,1,1,0,0,1,0.06136233235725078
2,1,3.0,8,48,0,1,0,1,0,1,0,0.10162145693036305
1,1,3.0,12,65,0,0,1,1,0,0,1,0.05407431164388415
2,1,1.0,6,50,0,0,1,1,0,1,0,0.03346146724672452
2,1,3.0,5,62,0,0,1,1,0,0,1,0.02209355102285476
1,2,2.0,2,85,0,0,1,1,0,1,0,0.022839934592457437
2,1,3.0,5,84,0,0,1,1,0,0,1,0.047656045246658875
1,1,4.0,7,52,0,0,1,1,0,1,0,0.06394314738330749
2,1,4.0,17,47,1,0,1,1,0,0,1,0.04708500282517399
0,1,3.0,3,53,0,0,1,1,0,1,0,0.10569567676676024
1,1,4.0,2,52,0,0,1,1,0,0,1,0.1151904656317601
1,1,5.0,5,87,0,0,1,1,0,1,0,0.0371712793634301
1,1,3.0,3,58,0,1,0,1,0,0,1,0.05785383051003229
1,1,4.0,6,75,0,0,1,1,0,0,1,0.030409857519378785
1,1,3.0,7,84,1,0,1,1,0,0,1,0.030248771943249656
2,1,5.0,5,59,0,1,0,1,0,0,1,0.045256665468410485
2,1,5.0,7,78,1,0,1,1,0,0,1,0.048982537080959114
1,1,1.0,12,52,0,1,0,1,0,1,0,0.12630345359332845
1,1,4.0,6,44,0,0,1,1,0,1,0,0.09773433900205764
2,1,3.0,14,52,0,0,1,1,0,1,0,0.09858477282922322
1,1,4.0,2,49,1,0,1,1,0,0,1,0.1142425398455731
1,2,1.0,5,51,0,0,1,1,0,1,0,0.11411333867838164
1,1,4.0,3,53,0,0,1,1,0,0,1,0.11013531321647019
1,1,3.0,2,91,0,0,1,1,0,0,1,0.09289351221068876
2,1,3.0,3,58,1,0,1,1,0,1,0,0.10606603171916772
1,1,3.0,7,79,0,0,1,1,0,1,0,0.09047853443859506
2,1,2.0,7,53,0,0,1,1,0,1,0,0.10445130876828562
2,1,4.0,8,82,0,0,1,1,0,1,0,0.05910306924439609
1,1,5.0,11,60,1,1,0,1,0,0,1,0.09965448954719443
1,1,2.0,6,52,0,1,0,1,0,1,0,0.08244737269209053
2,1,5.0,3,69,1,0,1,1,0,0,1,0.12202870610691448
1,1,3.0,8,85,0,0,1,1,0,1,0,0.09054677777831148
1,2,4.0,3,74,0,0,1,1,0,0,1,0.17585716438350837
1,1,3.0,7,44,0,0,1,1,0,1,0,0.11372587918455797
1,1,4.0,13,53,0,1,0,1,0,1,0,0.07645964291099439
1,1,4.0,4,86,0,0,1,1,0,0,1,0.11272061825020142
1,1,3.0,5,57,0,1,0,1,0,1,0,0.10061385788030097
1,1,3.0,12,52,0,0,1,1,0,0,1,0.11205246400676326
1,1,5.0,17,59,0,0,1,1,0,1,0,0.10681002757978943
1,1,5.0,4,63,1,0,1,1,0,0,1,0.06951662298270413
1,1,3.0,11,57,0,1,0,1,0,1,0,0.10067009612676904
2,2,3.0,4,83,0,0,1,1,0,0,1,0.11016116194138392
2,1,5.0,8,54,0,0,1,1,0,0,1,0.11850670493780585
2,1,5.0,4,50,0,0,1,1,0,1,0,0.1837735227281998
1,1,4.0,6,57,1,0,1,1,0,0,1,0.09560073460388811
1,1,4.0,6,62,0,1,0,1,0,0,1,0.17613078678871674
1,1,3.0,2,73,0,1,0,1,0,1,0,0.0985512681357807
1,2,3.0,4,50,0,0,1,1,0,1,0,0.13549663467110826
2,1,2.0,19,79,0,0,1,1,0,1,0,0.13262871304288035
2,3,4.0,2,49,0,0,1,1,0,1,0,0.11984237176232247
1,1,4.0,6,63,0,0,1,1,0,0,1,0.12925859232006387
2,1,3.0,2,90,1,1,0,1,0,0,1,0.11652574645582124
1,1,5.0,5,49,0,0,1,1,0,1,0,0.11072462604456455
2,1,4.0,2,46,0,1,0,1,0,1,0,0.13286575993205993
1,1,5.0,2,86,1,0,1,1,0,1,0,0.10314768870431519
0,4,3.0,2,72,0,0,1,1,0,1,0,0.11122734189329535
2,1,4.0,4,72,1,1,0,1,0,0,1,0.10708963843439456
1,4,4.0,7,82,0,0,1,1,0,1,0,0.14632372619802414
1,1,4.0,6,77,0,0,1,1,0,1,0,0.13645652455637777
2,1,5.0,7,51,1,0,1,1,0,0,1,0.1730326121912483
0,1,5.0,3,92,1,0,1,0,1,1,0,0.16801078651632237
1,2,3.0,5,71,0,0,1,1,0,0,1,0.20218617672482342
1,1,5.0,5,68,0,1,0,1,0,1,0,0.1989143417855784
1,1,5.0,9,61,0,0,1,1,0,0,1,0.18242009353776287
2,1,3.0,2,47,0,0,1,1,0,1,0,0.15717686745033846
1,1,5.0,3,46,0,1,0,1,0,1,0,0.15169466654680425
2,2,5.0,4,67,0,0,1,1,0,0,1,0.14517251000180448
0,1,4.0,7,58,0,0,1,1,0,1,0,0.13226047916539355
2,1,3.0,8,89,1,0,1,1,0,1,0,0.11485069134733357
1,1,5.0,8,50,0,0,1,1,0,1,0,0.18548181482366588
1,1,3.0,4,78,0,0,1,1,0,0,1,0.1448399709692946
2,2,3.0,7,56,0,0,1,1,0,1,0,0.13289064889026928
1,1,4.0,4,78,0,1,0,0,1,0,1,0.13930642784221126
1,1,4.0,2,77,0,1,0,1,0,1,0,0.12714979022304115
0,2,3.0,7,76,0,1,0,0,1,0,1,0.13210682785289765
2,1,5.0,3,84,0,0,1,1,0,0,1,0.13962848978536022
2,1,3.0,2,57,0,0,1,1,0,1,0,0.08567139047659685
1,2,3.0,5,81,0,0,1,1,0,1,0,0.12695308119218254
1,1,3.0,2,51,0,0,1,1,0,1,0,0.14930024898987213
2,1,3.0,11,51,0,0,1,1,0,0,1,0.1751111370713486
0,1,5.0,4,80,0,0,1,1,0,0,1,0.11534688277680537
0,1,1.0,4,72,0,0,1,1,0,1,0,0.13476649287546313
2,1,4.0,6,50,0,0,1,1,0,1,0,0.17798584243292645
2,1,3.0,9,48,0,1,0,1,0,1,0,0.12202835879940895
0,2,5.0,8,88,1,1,0,1,0,1,0,0.1185872959663312
1,1,5.0,3,70,1,0,1,1,0,0,1,0.1337907422011356
2,1,4.0,4,57,0,0,1,1,0,0,1,0.15808371818090722
1,1,3.0,7,56,1,0,1,1,0,0,1,0.16063889145868585
1,1,1.0,5,56,0,0,1,1,0,1,0,0.15469196347272038
0,1,3.0,3,63,0,0,1,1,0,1,0,0.1154792908435897
1,2,3.0,2,56,0,0,1,1,0,1,0,0.08893077952240097
2,1,5.0,2,84,0,0,1,1,0,1,0,0.17250975800312443
